tournament: 8bf2ff4c-00f4-4a18-b071-89979faf8481
Playing game 3080 of 3080

name		points	games	won	lost	drew	pieceBalance	speed	movePoints
0.04374-16..	64	110	18	0	92	1054		3.98	0.24761592328913742
0.18149-16..	60	110	10	0	100	1329		33.35	0.1737946070177459
0.04235-16..	60	110	11	1	98	1011		11.14	0.16589919047440133
0.50210-16..	58.5	110	8	1	101	2120		3.43	0.23791888546332768
0.05646-16..	60.5	110	11	0	99	-51		35.31	0.20466370954516028
0.06629-16..	60.5	110	13	2	95	-63		35.38	0.17626272260392936
0.13908-16..	59	110	10	2	98	1230		16.14	0.08938363992801038
0.05943-16..	60	110	11	1	98	-112		34.59	0.21985589560781116
0.04244-16..	59	110	8	0	102	674		2.60	0.13716694780718441
0.00314-16..	57	110	6	2	102	2080		3.07	0.050776718227423155
0.16620-16..	56	110	3	1	106	2034		3.55	0.04859762675296654
0.65126-16..	56	110	3	1	106	1812		3.11	0.15444444444444444
0.88620-16..	55.5	110	2	1	107	1931		3.21	0.012251736137492973
1.14920-16..	55.5	110	2	1	107	1718		13.06	0.06336297260174945
0.62910-16..	56.5	110	5	2	103	666		34.44	0.04997451087714779
1.00609-16..	55	110	0	0	110	1916		4.21	0
0.86912-16..	55	110	0	0	110	1916		29.61	0
0.48558-16..	55	110	0	0	110	1687		13.77	0
0.89792-16..	55	110	1	1	108	1154		2.86	0.010679271708683474
0.05668-16..	56.5	110	10	7	93	-615		36.13	-0.025744376663592843
1.13076-16..	56	110	3	1	106	-189		11.87	0.0803887968622075
0.21803-16..	56	110	5	3	102	-335		2.36	0.00906198482450273
0.87066-16..	54.5	110	1	2	107	698		2.66	-0.0088683444615648
0.19045-16..	56	110	5	3	102	-979		33.49	-0.005083751057295366
1.12923-16..	55	110	2	2	106	-341		2.39	-0.005333646616541354
0.09051-16..	55	110	2	2	106	-454		2.83	0.009278019896186426
1.08550-16..	55	110	2	2	106	-601		2.47	0.054651981750555675
0.91176-16..	54	110	0	2	108	253		2.51	-0.07148175725986597
0.25101-16..	54.5	110	2	3	105	-434		31.28	0.011589006160824413
0.41080-16..	54.5	110	4	5	101	-565		2.58	-0.002627551612163286
0.26138-16..	54.5	110	4	5	101	-652		19.49	-0.06910687769580691
undefined-..	54.5	110	1	2	107	-826		12.16	-0.013984771406571856
0.59993-16..	54	110	4	6	100	-723		2.96	0.10270848324011088
undefined-..	54	110	1	3	106	-891		11.70	-0.12880196414950418
0.91947-16..	53.5	110	1	4	105	-436		2.46	-0.03900544603488601
0.91821-16..	53.5	110	2	5	103	-471		2.01	-0.05190014814870829
0.75292-16..	53.5	110	4	7	99	-512		2.53	-0.08253262698320372
0.83123-16..	53	110	1	5	104	-222		15.66	-0.1366764521469561
0.48156-16..	53.5	110	2	5	103	-740		2.18	-0.07966438975956057
0.27081-16..	53	110	0	4	106	-248		2.48	-0.11854432830042586
0.19680-16..	53.5	110	3	6	101	-827		29.07	-0.05408278626712629
0.78426-16..	53.5	110	1	4	105	-829		2.79	-0.03655704706124874
0.91339-16..	53.5	110	2	5	103	-873		2.41	-0.06565322902949763
0.19552-16..	53	110	1	5	104	-799		3.40	-0.088028863180993
0.87415-16..	52.5	110	0	5	105	-775		2.16	-0.08242957668109653
0.87786-16..	52.5	110	1	6	103	-807		2.94	-0.0635579510586419
0.90563-16..	52.5	110	2	7	101	-818		2.47	-0.04852262752797983
0.90232-16..	52.5	110	1	6	103	-891		3.00	-0.039122869995763435
0.16855-16..	52.5	110	0	5	105	-1172		28.11	-0.10834280661866869
0.17094-16..	52.5	110	1	6	103	-1175		27.52	-0.06135235679364472
0.63032-16..	52	110	0	6	104	-790		2.13	-0.07472659414832312
0.91178-16..	52	110	0	6	104	-1024		2.37	-0.13512465430533024
0.90912-16..	52	110	1	7	102	-1062		2.69	-0.10820564776269287
0.92821-16..	51.5	110	2	9	99	-1138		2.82	-0.13259750913959834
0.08709-16..	51	110	0	8	102	-691		2.71	-0.20627622654106245
0.05935-16..	51	110	2	10	98	-1152		8.82	-0.16638989681268834
